brand,n_outbound_tweets,deflection_rate_loose_pct,deflection_rate_strict_pct,mean_reply_words,n_conversations_unambiguous,n_inbound_in_unambiguous_convs,n_multiturn_unambiguous_depth_ge_2,pct_multiturn_unambiguous_depth_ge_2,mean_conversation_size_unambiguous,n_multibrand_convs_participated,n_inbound_in_multibrand_convs_participated,first_seen,last_seen
VirginAtlantic,4318,8.01,6.44,19.1,2747,5819,1556,56.64,3.68,24,113,2013-01-10 09:52:45+00:00,2017-12-03 22:41:47+00:00
Walmart,2643,0.15,0.15,14.6,2403,3290,495,20.6,2.47,3,79,2016-06-15 18:15:58+00:00,2017-12-03 20:22:12+00:00
AskCiti,4081,26.76,3.11,32.2,2307,3797,799,34.63,3.4,20,40,2012-08-16 13:01:46+00:00,2017-12-03 22:38:34+00:00
nationalrailenq,4444,0.36,0.34,17.1,2170,5047,1433,66.04,4.27,105,455,2016-04-24 18:17:41+00:00,2017-12-03 22:42:30+00:00
VirginAmerica,2815,13.61,9.84,16.4,2082,3517,772,37.08,3.02,31,85,2016-01-01 16:06:01+00:00,2017-12-03 20:28:50+00:00
KFC_UKI_Help,2103,70.23,63.05,19.9,2015,2956,599,29.73,2.51,2,2,2016-09-07 16:03:01+00:00,2017-12-03 19:06:34+00:00
ATT,2790,56.92,29.46,26.0,2001,3784,829,41.43,3.24,60,685,2017-02-27 15:19:40+00:00,2017-12-03 21:49:25+00:00
DellCares,5336,38.1,18.38,26.6,1980,4547,1035,52.27,4.97,16,83,2015-09-13 23:30:08+00:00,2017-12-03 21:36:50+00:00
askpanera,2153,67.81,35.16,23.6,1978,2731,549,27.76,2.47,0,0,2017-09-12 20:41:13+00:00,2017-12-03 20:38:57+00:00
IHGService,2643,40.6,10.93,29.3,1744,2815,608,34.86,3.13,2,8,2016-07-11 12:11:00+00:00,2017-12-03 21:24:55+00:00
TfL,2243,2.81,1.6,22.5,1562,2824,628,40.2,3.23,10,45,2011-06-07 13:01:08+00:00,2017-12-03 23:04:56+00:00
ArbysCares,1904,2.94,2.0,16.4,1555,2299,509,32.73,2.7,0,0,2017-06-08 17:56:14+00:00,2017-12-01 20:13:14+00:00
NikeSupport,3468,10.78,8.28,20.6,1554,4270,968,62.29,4.97,9,42,2012-07-16 20:47:10+00:00,2017-12-03 22:00:28+00:00
DoorDash_Help,1581,93.61,84.63,22.5,1505,2228,451,29.97,2.53,4,14,2017-09-23 05:11:23+00:00,2017-12-03 21:05:11+00:00
GoDaddyHelp,1965,33.38,12.82,25.6,1449,2522,582,40.17,3.1,2,2,2014-12-28 23:02:05+00:00,2017-12-03 20:48:11+00:00
DunkinDonuts,1290,53.18,52.87,16.6,1258,1567,225,17.89,2.27,0,0,2016-12-05 14:47:01+00:00,2017-12-03 20:59:29+00:00
sizehelpteam,1482,67.95,63.02,18.2,1251,2046,479,38.29,2.82,0,0,2017-07-27 16:39:30+00:00,2017-12-03 22:23:30+00:00
TwitterSupport,1290,0.23,0.23,23.5,1218,2571,429,35.22,3.15,1,38,2014-04-22 20:34:54+00:00,2017-12-03 19:59:58+00:00
Kimpton,1339,2.02,1.19,19.4,1053,1533,330,31.34,2.73,1,3,2013-10-31 03:24:24+00:00,2017-12-03 22:54:09+00:00
AsurionCares,1898,29.29,22.5,21.1,1015,2299,481,47.39,4.03,59,273,2015-04-03 20:02:54+00:00,2017-12-02 21:20:23+00:00
SCsupport,1329,1.28,0.6,21.4,980,1609,385,39.29,3.0,0,0,2016-12-16 19:32:34+00:00,2017-12-01 15:28:04+00:00
AWSSupport,1035,0.39,0.29,23.2,904,1498,409,45.24,2.8,0,0,2016-11-28 16:09:00+00:00,2017-12-03 19:54:05+00:00
NortonSupport,2011,13.38,8.7,18.3,893,2189,436,48.82,4.69,6,24,2017-03-17 00:55:27+00:00,2017-12-03 21:14:52+00:00
AskRBC,1011,18.2,3.26,28.0,837,1389,353,42.17,2.86,2,25,2014-06-18 01:15:05+00:00,2017-12-03 20:44:00+00:00
NeweggService,1079,45.04,22.89,21.4,795,1397,358,45.03,3.11,1,4,2017-09-26 12:41:42+00:00,2017-12-03 22:29:59+00:00
PandoraSupport,1043,39.31,33.08,19.7,724,1254,260,35.91,3.17,0,0,2016-11-12 16:36:00+00:00,2017-12-02 22:37:29+00:00
HiltonHelp,833,80.79,79.35,20.1,714,1186,229,32.07,2.82,2,7,2017-02-05 01:37:49+00:00,2017-11-19 01:37:53+00:00
VMUcare,1381,25.42,20.28,17.0,712,1790,354,49.72,4.41,15,72,2017-08-25 15:43:18+00:00,2017-12-03 21:22:35+00:00
BoostCare,907,44.21,27.89,22.0,658,1162,219,33.28,3.11,15,111,2017-08-26 01:51:37+00:00,2017-12-03 20:53:45+00:00
PearsonSupport,841,9.63,7.02,23.2,604,1005,210,34.77,3.06,0,0,2014-05-28 22:55:09+00:00,2017-12-03 01:04:27+00:00
ask_progressive,612,54.41,12.58,27.3,543,798,135,24.86,2.6,0,0,2017-02-18 01:24:30+00:00,2017-12-02 20:59:25+00:00
GooglePlayMusic,804,1.0,0.37,23.8,542,1122,300,55.35,3.55,3,4,2017-08-16 16:22:35+00:00,2017-12-03 18:20:35+00:00
YahooCare,906,30.91,18.32,21.7,536,1265,314,58.58,4.04,2,4,2014-12-29 10:58:13+00:00,2017-12-03 19:25:37+00:00
MTNC_Care,784,37.12,34.18,17.5,529,1194,275,51.98,3.74,0,0,2017-09-28 17:46:04+00:00,2017-12-02 18:07:45+00:00
USCellularCares,1177,0.85,0.51,19.5,528,1419,305,57.77,4.88,13,118,2017-03-23 18:46:58+00:00,2017-12-03 14:55:29+00:00
asksalesforce,710,22.39,16.06,19.1,485,931,233,48.04,3.38,1,5,2016-11-12 01:49:51+00:00,2017-12-01 21:18:22+00:00
MOO,630,9.52,6.67,16.1,477,793,181,37.95,2.98,1,2,2015-05-27 15:25:34+00:00,2017-12-03 18:53:52+00:00
askvisa,709,3.39,2.82,23.0,471,692,130,27.6,2.97,2,5,2014-10-30 20:27:28+00:00,2017-12-02 21:34:49+00:00
OPPOCareIN,879,18.43,9.44,25.2,451,1147,286,63.41,4.49,0,0,2016-12-19 11:29:51+00:00,2017-12-02 12:27:04+00:00
AskVirginMoney,914,1.75,1.53,21.1,396,1014,258,65.15,4.87,0,0,2015-07-07 14:27:22+00:00,2017-12-03 11:02:01+00:00
KeyBank_Help,555,25.95,12.97,24.8,372,671,167,44.89,3.29,2,7,2017-09-15 16:00:05+00:00,2017-12-03 13:24:00+00:00
AskRobinhood,432,5.79,5.56,13.5,353,595,126,35.69,2.91,0,0,2016-01-12 18:31:14+00:00,2017-12-02 23:15:56+00:00
AskSeagate,639,7.2,2.19,28.8,341,675,158,46.33,3.8,5,36,2014-12-04 14:54:18+00:00,2017-12-01 21:51:50+00:00
AskTigogh,715,5.31,4.9,16.8,322,922,186,57.76,5.08,0,0,2016-05-04 12:36:29+00:00,2017-12-03 08:23:12+00:00
JackBox,266,31.58,27.07,10.8,233,327,65,27.9,2.55,0,0,2017-09-07 15:45:21+00:00,2017-12-02 15:23:46+00:00
AskDSC,210,70.48,66.67,17.5,198,239,34,17.17,2.27,0,0,2017-08-21 17:41:57+00:00,2017-12-01 16:22:11+00:00
mediatemplehelp,305,4.92,1.97,24.1,174,305,84,48.28,3.51,0,0,2017-08-29 13:17:03+00:00,2017-12-01 20:06:31+00:00
CarlsJr,196,5.61,4.59,20.0,166,257,56,33.73,2.73,0,0,2010-03-31 16:53:27+00:00,2017-12-01 23:32:09+00:00
HotelTonightCX,152,23.03,17.11,20.9,123,186,34,27.64,2.75,0,0,2017-03-08 01:17:08+00:00,2017-12-03 09:24:19+00:00
OfficeSupport,218,26.61,23.39,21.5,97,261,74,76.29,4.64,16,56,2016-11-01 19:30:34+00:00,2017-12-01 17:25:00+00:00
